appid,name,developer,publisher,positive_reviews,negative_reviews,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,languages,genres,tags
221100,DayZ,Bohemia Interactive,Bohemia Interactive,230305,90216,"10,000,000 - 20,000,000",13189,1337,2028,1084,9.99,53999,"English, French, Italian, German, Spanish - Spain, Czech, Russian, Simplified Chinese, Traditional Chinese, Japanese, Polish, Portuguese - Brazil","Action, Adventure, Massively Multiplayer","Survival, Zombies, Multiplayer, Open World, Action, PvP, Shooter, Massively Multiplayer, Horror, Post-apocalyptic, Simulation, FPS, Early Access, First-Person, Survival Horror, Sandbox, Adventure, Co-op, Atmospheric, Indie"
381210,Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,508365,116195,"10,000,000 - 20,000,000",9207,649,1331,232,9.99,53348,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese, Portuguese - Brazil, Thai, Traditional Chinese, Japanese, Korean, Polish, Spanish - Latin America, Turkish",Action,"Horror, Survival Horror, Multiplayer, Online Co-Op, Survival, Co-op, Gore, Blood, Team-Based, Stealth, Third Person, Violent, First-Person, Psychological Horror, Action, Atmospheric, Strategy, Comedy, Mature, Difficult"
1063730,New World,Amazon Games,Amazon Games,161815,74378,"10,000,000 - 20,000,000",7567,835,3831,224,9.99,53153,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Spanish - Latin America","Action, Adventure, Massively Multiplayer, RPG","Massively Multiplayer, Open World, MMORPG, RPG, Adventure, Action, PvP, PvE, Multiplayer, Walking Simulator, Fantasy, Character Customization, Crafting, Third Person, Co-op, Open World Survival Craft, Sandbox, Violent, Sexual Content, Souls-like"
242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,390841,19531,"10,000,000 - 20,000,000",1604,252,877,213,9.99,53037,"English, French, German, Czech, Finnish, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Traditional Chinese, Turkish, Italian, Spanish - Spain","Action, Adventure, Indie, Simulation","Open World Survival Craft, Survival, Open World, Horror, Crafting, Adventure, Building, Survival Horror, First-Person, Action, Exploration, Sandbox, Atmospheric, Singleplayer, Simulation, Gore, Realistic, Indie, Early Access, Zombies"
261550,Mount & Blade II: Bannerlord,TaleWorlds Entertainment,TaleWorlds Entertainment,174690,25110,"10,000,000 - 20,000,000",7604,880,3200,489,9.99,52159,"English, Simplified Chinese, Turkish, Traditional Chinese, French, Italian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, German","Action, Indie, RPG, Simulation, Strategy","Medieval, Strategy, Open World, RPG, War, Multiplayer, Sandbox, Singleplayer, Action, Simulation, Character Customization, Moddable, Adventure, Horses, Realistic, Third Person, First-Person, Historical, Great Soundtrack, Early Access"
1811260,EA SPORTS FIFA 23,EA Canada &amp; EA Romania,Electronic Arts,9475,13333,"10,000,000 - 20,000,000",3138,1413,2854,1051,9.99,43548,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Danish, Dutch, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Traditional Chinese, Turkish","Simulation, Sports","Sports, Soccer, Immersive Sim, Football, Management, PvP, e-sports, Controller, Third Person, Team-Based, Simulation, Realistic, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Online Co-Op, Singleplayer, PvE, Anime"
289070,Sid Meier’s Civilization VI,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",195690,37512,"10,000,000 - 20,000,000",4943,565,1421,316,9.99,42945,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",Strategy,"Strategy, Turn-Based Strategy, Historical, Multiplayer, Singleplayer, Turn-Based, Grand Strategy, 4X, War, Simulation, City Builder, Tactical, Building, Great Soundtrack, Management, Moddable, Online Co-Op, Co-op, Hex Grid, Atmospheric"
230410,Warframe,Digital Extremes,Digital Extremes,448262,68244,"10,000,000 - 20,000,000",9051,959,376,308,9.99,40531,"English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Polish, Portuguese - Brazil, Traditional Chinese, Turkish, Ukrainian","Action, Free to Play, RPG","Free to Play, Action RPG, Looter Shooter, RPG, Action, Third-Person Shooter, Third Person, Character Customization, Massively Multiplayer, Online Co-Op, Co-op, Lore-Rich, Sci-fi, PvE, Singleplayer, Space, Shooter, Hack and Slash, Parkour, Ninja"
322330,Don't Starve Together,Klei Entertainment,Klei Entertainment,339950,13880,"10,000,000 - 20,000,000",2425,164,502,71,9.99,40510,"English, Simplified Chinese","Adventure, Indie, Simulation","Exploration, Open World Survival Craft, Survival, Sandbox, Rogue-lite, Crafting, Multiplayer, Difficult, Open World, 2D, Adventure, Strategy, Horror, Atmospheric, Survival Horror, Funny, Action, Simulation, Online Co-Op, PvP"
227300,Euro Truck Simulator 2,SCS Software,SCS Software,570992,15598,"10,000,000 - 20,000,000",5833,282,1774,131,9.99,40321,"English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Portuguese - Portugal, Polish, Danish, Dutch, Finnish, Norwegian, Swedish, Hungarian, Czech, Romanian, Turkish, Portuguese - Brazil, Bulgarian, Greek, Ukrainian","Indie, Simulation","Driving, Transportation, Simulation, Open World, Automobile Sim, Realistic, Moddable, Relaxing, Immersive Sim, Exploration, Economy, Management, Atmospheric, Multiplayer, Controller, Family Friendly, Third Person, Casual, Adventure, Indie"
218620,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,531462,63075,"10,000,000 - 20,000,000",9466,5167,614,2109,9.99,38814,"English, German, French, Italian, Spanish - Spain, Dutch, Russian, Japanese, Simplified Chinese, Spanish - Latin America, Korean","Action, RPG","Co-op, Action, FPS, Heist, Looter Shooter, Multiplayer, Online Co-Op, Stealth, Crime, Shooter, Team-Based, First-Person, Great Soundtrack, Gun Customization, Tactical, PvE, Strategy, Singleplayer, Funny, Simulation"
4000,Garry's Mod,Facepunch Studios,Valve,859232,29948,"10,000,000 - 20,000,000",10223,342,1304,121,9.99,38497,"English, French, Italian, German, Spanish - Spain, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian","Indie, Simulation","Sandbox, Multiplayer, Funny, Moddable, Building, Comedy, Mod, Co-op, First-Person, Physics, Simulation, Online Co-Op, FPS, Singleplayer, Action, Animation & Modeling, Shooter, Indie, Adventure, Massively Multiplayer"
