appid,name,developer,publisher,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags
25930,East India Company,Nitro Games,Nitro Games,83,68,0,"50,000 .. 100,000",36,0,54,0,999,999,0,2,"English, French, German",Strategy,"Strategy, Historical, Economy, Naval, Trading, Sailing, Pirates"
615090,Royal Offense,Badim,Badim,67,22,0,"50,000 .. 100,000",398,0,400,0,99,999,90,2,"English, Russian, Korean, Simplified Chinese, Traditional Chinese, Japanese, German, Spanish - Spain","Indie, RPG, Strategy","Indie, Strategy, RPG, Pixel Graphics"
497050,Shape Shifter,PRORTUS,Back To Basics Gaming,75,74,0,"50,000 .. 100,000",312,0,234,0,99,199,50,2,English,"Casual, Indie","Indie, Casual"
849940,Freefall Tournament,y8.com,y8.com,66,27,0,"50,000 .. 100,000",1189,0,1189,0,499,499,0,2,English,Action,"Action, Multiplayer, Shooter, PvP, Team-Based, Third-Person Shooter, Fighting, Co-op, Fast-Paced, Sci-fi, Arena Shooter, Competitive, Sniper, Space, Tactical, Strategy, Online Co-Op, FPS, Action-Adventure, Adventure"
2920,Sub Command,Sonalysts,Strategy First,77,24,0,"20,000 .. 50,000",18,0,18,0,299,999,70,2,English,Strategy,"Strategy, Simulation, Naval Combat, Submarine, Naval, Military, Underwater, Exploration, Wargame, Realistic, Cold War, Old School, Retro, War, Physics, Multiplayer, Singleplayer, Difficult, Indie, Real-Time"
546410,Grab the Bottle,Kamina Dimension,Kamina Dimension,76,16,0,"0 .. 20,000",240,0,240,0,50,299,83,2,"English, Japanese, Simplified Chinese, Finnish","Casual, Indie","Casual, Indie, Puzzle, 2D, Physics, Action, Colorful"
564210,Fishermurs,Reward Hunters,Valkyrie Initiative,39,22,0,"50,000 .. 100,000",260,0,264,0,49,99,51,2,"English, Russian","Action, Indie, Massively Multiplayer","Action, Massively Multiplayer, Indie, Survival, Dark Humor, Sports, Arcade, Racing, e-sports, Spectacle fighter, Arena Shooter, Top-Down Shooter, 3D, Beautiful, Cute, Hand-drawn, Colorful, Naval, Bullet Time, PvE"
1427640,All-Time Battle,"Broken Bunny Studios, Inc","Broken Bunny Studios, Inc",7,19,0,"50,000 .. 100,000",0,0,0,0,0,0,0,2,English,"Action, Free to Play, Indie, Massively Multiplayer, Early Access","Early Access, Arena Shooter, FPS, Shoot 'Em Up, PvP, Battle Royale, Shooter, Character Customization, 3D, First-Person, Cyberpunk, Action, Team-Based, Cartoony, Colorful, Stylized, Sci-fi, Tactical, War, Cartoon"
329000,Data Hacker: Corruption,New Reality Games,New Reality Games,59,63,0,"500,000 .. 1,000,000",322,0,327,0,99,199,50,1,English,"Adventure, Indie, RPG, Simulation","Indie, RPG, Adventure, Simulation, RPGMaker, JRPG"
515690,Warriors of Vilvatikta,RPG Video,Back To Basics Gaming,68,74,0,"500,000 .. 1,000,000",238,0,225,0,99,199,50,1,English,"Adventure, Indie, RPG","RPG, Indie, Adventure, RPGMaker"
499420,Star Fields,AG media,Back To Basics Gaming,53,69,0,"500,000 .. 1,000,000",219,0,222,0,99,199,50,1,English,"Casual, Indie","Casual, Indie, Arcade"
1512530,极限求生,陈 世杰,陈 世杰,6,8,0,"200,000 .. 500,000",0,0,0,0,0,0,0,1,"English, Not supported, Simplified Chinese","Free to Play, Indie, Massively Multiplayer, RPG","MMORPG, Battle Royale, Survival, Third-Person Shooter, RPG, Third Person, Action, Shooter, 3D Platformer, Open World Survival Craft, Survival Horror, Hack and Slash, Arena Shooter, 3D Vision, Realistic, Military, Fantasy, Tactical, Sniper, Sci-fi"
1367170,Planet's Edge,New World Computing,Ziggurat,3,1,0,"200,000 .. 500,000",0,0,0,0,519,799,35,1,English,"RPG, Simulation","CRPG, Sci-fi, Open World, Space Sim, RPG, Retro, Simulation, Space, Adventure, Exploration, Pixel Graphics, Strategy RPG, Colony Sim, 1990's, Aliens, Base-Building, Combat, Inventory Management, Mining, Singleplayer"
2207120,My Darkest Witch,Youkuni,kazakovstudios  ,10,1,0,"500,000 .. 1,000,000",0,0,0,0,3999,3999,0,1,English,Indie,"Arena Shooter, Visual Novel, Difficult, Action RPG, Character Customization, Gun Customization, Casual, Hand-drawn, Indie, Combat, Singleplayer"
